Experience,Theory_Marks,Interview_Marks,Total,Result,Salary(in LPA)
4,80,10,90,1,0
1,85,9,94,1,0
3,89,2,91,1,0
2,84,9,93,1,0
2,85,4,89,1,0
2,90,5,95,0,30
3,80,3,83,1,0
4,78,3,81,1,0
3,82,1,83,1,0
3,83,7,90,1,0
5,77,7,84,1,0
5,87,4,91,1,0
1,78,5,83,1,0
2,81,7,88,1,0
2,81,1,82,1,0
2,81,2,83,1,0
2,82,9,91,1,0
3,84,7,91,1,0
2,82,7,89,1,0
3,87,10,97,0,36
2,77,9,86,1,0
4,82,7,89,1,0
1,82,4,86,1,0
4,88,3,91,1,0
2,76,4,80,1,0
5,81,4,85,1,0
3,88,10,98,0,40
1,82,2,84,1,0
1,86,10,96,0,32
5,85,3,88,1,0
3,88,5,93,1,0
3,84,3,87,1,0
5,76,10,86,1,0
2,83,2,85,1,0
4,84,6,90,1,0
1,80,10,90,1,0
5,88,5,93,1,0
1,85,8,93,1,0
5,90,6,96,0,32
5,85,2,87,1,0
3,84,5,89,1,0
1,79,5,84,1,0
5,88,3,91,1,0
5,77,6,83,1,0
4,81,1,82,1,0
1,75,4,79,1,0
4,89,7,96,0,32
3,77,5,82,1,0
2,87,2,89,1,0
3,90,9,99,0,44
4,77,9,86,1,0
3,77,6,83,1,0
1,75,4,79,1,0
4,77,2,79,1,0
1,80,9,89,1,0
5,78,8,86,1,0
4,78,1,79,1,0
1,83,2,85,1,0
1,75,9,84,1,0
5,80,6,86,1,0
1,81,10,91,1,0
5,82,5,87,1,0
2,83,7,90,1,0
2,86,5,91,1,0
1,88,6,94,1,0
2,82,4,86,1,0
5,88,10,98,0,40
5,79,4,83,1,0
1,84,7,91,1,0
5,81,1,82,1,0
2,89,8,97,0,36
1,78,7,85,1,0
1,81,6,87,1,0
5,81,10,91,1,0
4,86,4,90,1,0
3,87,7,94,1,0
4,86,8,94,1,0
4,88,3,91,1,0
3,88,10,98,0,40
1,80,2,82,1,0
1,78,3,81,1,0
1,81,7,88,1,0
3,82,9,91,1,0
1,90,2,92,1,0
3,77,4,81,1,0
3,83,9,92,1,0
5,87,9,96,0,32
3,86,9,95,0,30
5,79,8,87,1,0
4,88,2,90,1,0
5,76,8,84,1,0
4,75,10,85,1,0
4,89,5,94,1,0
3,83,2,85,1,0
1,76,9,85,1,0
4,87,8,95,0,30
1,86,7,93,1,0
5,85,6,91,1,0
4,79,3,82,1,0
1,90,1,91,1,0
2,89,8,97,0,36
3,85,8,93,1,0
2,77,1,78,1,0
3,90,9,99,0,44
4,75,8,83,1,0
1,89,4,93,1,0
1,78,4,82,1,0
4,81,3,84,1,0
